"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-06","Jun-1966","IDX","Index","0","Units",,,100.8375,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-07","Jul-1966","IDX","Index","0","Units",,,100.4841,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-08","Aug-1966","IDX","Index","0","Units",,,100.138,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-09","Sep-1966","IDX","Index","0","Units",,,99.80833,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-10","Oct-1966","IDX","Index","0","Units",,,99.49401,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-11","Nov-1966","IDX","Index","0","Units",,,99.20705,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-12","Dec-1966","IDX","Index","0","Units",,,98.96636,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-01","Jan-1967","IDX","Index","0","Units",,,98.7935,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-02","Feb-1967","IDX","Index","0","Units",,,98.70439,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-03","Mar-1967","IDX","Index","0","Units",,,98.72901,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-04","Apr-1967","IDX","Index","0","Units",,,98.87078,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-05","May-1967","IDX","Index","0","Units",,,99.11256,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-06","Jun-1967","IDX","Index","0","Units",,,99.41158,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-07","Jul-1967","IDX","Index","0","Units",,,99.73049,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-08","Aug-1967","IDX","Index","0","Units",,,100.0361,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-09","Sep-1967","IDX","Index","0","Units",,,100.2991,,
